dis_60
627
622
625
627
620
617
628
628
624
620
630
622
621
617
624
618
625
616
619
623
624
626
622
621
624
624
608
616
623
623
613
621
609
617
612
627
629
625
621
621
621
620
618
621
618
616
616
615
615
630
631
620
616
630
630
630
620
625
614
622
628
619
623
628
628
623
618
617
618
615
617
626
616
625
618
616
615
617
628
622
618
612
616
613
623
629
626
625
620
623
614
627
619
627
615
623
621
608
627
622
611
623
625
619
628
619
624
627
614
618
626
625
624
623
626
622
623
615
624
623
632
621
616
621
625
628
621
625
616
622
614
631
617
626
616
623
626
626
614
621
622
623
621
622
619
624
627
621
616
624
616
616
635
621
620
621
631
617
624
620
624
619
621
628
624
617
621
621
632
611
623
628
624
632
615
623
626
624
618
627
619
625
615
617
625
630
630
619
627
622
618
627
616
616
619
615
635
618
625
624
622
620
617
620
616
622
620
624
622
626
619
630
613
623
616
616
617
619
616
612
623
630
624
625
624
629
615
615
620
623
621
617
619
623
617
620
627
615
610
616
623
633
625
622
620
629
624
619
614
631
632
625
622
619
620
623
625
622
622
618
616
620
626
620
620
616
622
628
629
618
618
624
625
617
613
614
623
629
623
628
628
628
621
619
620
629
628
625
620
616
616
629
620
622
625
626
622
620
627
623
624
619
627
622
632
621
624
615
620
633
616
625
628
622
623
621
631
622
625
619
620
629
627
619
625
627
625
623
629
620
623
626
621
620
627
626
631
619
626
616
624
634
631
624
616
617
620
615
614
617
624
615
625
623
624
630
624
626
621
632
623
629
626
623
624
621
621
625
615
623
621
619
619
629
626
621
628
621
617
616
612
606
626
625
618
619
615
625
621
629
613
623
621
627
619
623
614
616
627
618
627
625
627
625
623
621
622
630
623
631
622
619
623
612
627
624
614
621
620
623
625
616
619
628
619
623
616
617
627
622
620
631
614
623
626
630
618
619
622
625
615
622
622
617
624
628
622
623
619
618
624
622
625
629
627
621
627
618
634
630
619
623
622
626
618
620
621
621
619
621
624
624
619
624
626
620
621
628
622
620
623
628
621
616
616
620
623
627
620
625
633
619
623
625
625
626
633
628
617
621
625
619
629
615
625
622
627
620
626
633
623
625
615
620
621
617
621
621
618
622
626
624
623
615
627
621
617
628
622
620
617
631
